,age,job,education,default,balance,housing,loan,y
0,32,7,2,1,-238,1,0,0
1,34,4,2,0,-478,1,1,0
2,32,3,2,0,266,1,0,0
3,36,7,2,1,13,0,1,0
4,23,11,2,0,486,0,0,0
5,82,10,1,0,2140,0,0,0
6,45,2,3,0,385,0,1,0
7,36,2,3,0,3949,0,0,1
8,32,7,2,0,658,0,0,0
9,39,5,2,0,600,0,0,0
10,34,7,2,1,-60,0,0,0
11,34,5,2,0,-102,1,0,0
12,42,3,2,0,440,1,0,0
13,40,4,2,0,2574,1,0,1
14,32,4,2,0,901,1,0,0
15,71,8,3,0,3895,0,0,0
16,40,6,2,0,311,1,0,0
17,35,3,3,0,5301,0,0,1
18,37,5,2,0,-24,1,0,0
19,62,8,2,0,3340,0,0,0
20,49,4,2,0,512,1,1,0
21,45,10,1,0,106,0,0,0
22,34,5,2,0,196,0,0,0
23,45,5,2,0,-158,1,0,0
24,46,7,2,0,942,0,0,0
25,37,5,2,0,1372,1,0,0
26,54,7,1,0,2656,1,0,0
27,45,7,3,0,23,1,1,0
28,46,7,1,0,2870,0,0,0
29,38,3,2,0,821,1,1,0
30,39,3,3,0,-204,1,0,0
31,26,7,1,0,36,0,1,0
32,53,5,2,0,1242,0,0,0
33,52,4,2,0,1113,0,1,0
34,27,7,2,0,-289,1,1,0
35,30,2,3,0,0,0,0,0
36,32,7,2,0,10142,1,0,0
37,36,4,2,0,0,1,0,0
38,49,3,2,0,1712,1,0,0
39,73,8,2,0,2850,0,0,0
40,39,7,1,0,163,1,0,0
41,58,8,4,0,928,0,0,0
42,35,2,3,0,24,1,0,0
43,47,7,4,0,61,1,0,0
44,25,7,1,0,292,1,1,1
45,33,5,2,0,-297,1,0,0
46,40,2,3,0,242,1,0,0
47,45,3,2,0,23,1,0,0
48,28,7,2,0,476,0,0,0
49,54,9,3,0,6590,0,0,0
50,37,2,3,0,1265,0,1,0
51,49,4,2,1,2405,1,0,0
52,54,3,2,0,1378,1,0,0
53,62,2,3,0,5943,0,0,1
54,27,5,1,0,921,0,0,0
55,38,2,3,0,1101,1,0,0
56,25,7,2,0,192,1,0,0
57,49,3,2,0,30,0,1,0
58,45,3,2,0,3460,0,0,0
59,34,7,1,0,358,1,0,0
60,30,3,2,0,538,1,0,0
61,33,3,2,0,367,1,1,0
62,54,7,1,0,428,1,0,0
63,49,7,2,0,1730,1,0,1
64,48,3,2,0,168,1,1,0
65,33,2,3,0,584,1,0,0
66,54,6,1,0,351,1,0,1
67,52,3,2,0,598,0,0,0
68,25,3,3,0,839,1,0,1
69,68,8,3,0,2144,0,0,1
70,30,2,3,0,6432,1,0,0
71,58,2,3,0,1384,1,0,1
72,59,2,3,0,866,0,0,0
73,56,3,2,0,150,1,1,0
74,29,2,3,0,42,1,0,0
75,52,2,3,0,2901,0,0,0
76,36,4,2,0,286,1,0,0
77,29,2,3,0,205,0,0,1
78,32,3,2,0,1698,1,0,0
79,46,1,2,0,583,1,0,0
80,46,3,3,0,0,1,0,0
81,58,8,1,0,358,0,0,0
82,36,2,3,0,6172,1,1,0
83,57,2,2,0,2155,0,1,0
84,37,4,3,0,43,1,0,0
85,20,11,2,0,130,0,0,0
86,32,4,3,0,328,1,1,0
87,46,4,2,0,35,0,0,0
88,51,7,1,0,202,1,0,0
89,58,2,3,0,1318,0,0,0
90,33,2,3,0,1071,0,0,0
91,44,7,2,0,1081,1,0,0
92,45,2,4,0,9051,1,0,0
93,29,7,2,0,234,1,0,0
94,44,3,2,0,2403,1,0,0
95,53,4,2,0,1252,0,0,0
96,51,7,1,0,5131,1,0,0
97,33,4,2,0,582,1,0,0
98,39,2,3,0,5988,1,1,0
99,47,4,2,0,303,1,1,0
100,28,5,2,0,1950,0,0,0
101,54,2,3,1,0,0,1,0
102,36,7,4,0,6,0,0,0
103,30,7,2,0,-99,1,0,0
104,23,10,1,0,93,1,0,0
105,31,5,2,0,187,1,0,0
106,27,4,2,0,436,1,0,0
107,56,8,1,0,48,1,0,0
108,58,7,1,0,2547,0,0,0
109,23,7,1,0,145,1,0,0
110,66,2,3,0,2169,0,0,0
111,30,4,2,0,265,1,0,0
112,53,3,3,0,757,1,0,0
113,56,8,1,0,4,1,0,0
114,34,2,3,0,520,1,0,0
115,22,11,2,0,144,0,0,1
116,55,7,1,0,-1217,1,0,0
117,55,9,1,0,1212,0,0,0
118,41,1,3,0,5736,1,1,0
119,34,5,2,0,15,0,0,0
120,27,4,2,0,53,1,0,0
121,33,7,1,0,261,1,0,0
122,38,2,2,0,336,1,0,0
123,38,4,1,0,3913,1,0,0
124,37,1,2,0,5064,1,0,0
125,42,4,2,0,105,0,0,1
126,90,8,1,0,712,0,0,1
